name,rating_count,rating_average,id
DOMODOMO New York,3141.0,4.59249,43111
Ernesto’s,3111.0,4.56927,6588
19 Cleveland,2995.0,4.57496,3899
Boutros,2922.0,4.57118,761
La Pecora Bianca - Soho,2591.0,4.56928,39190
Rafele Ristorante,2562.0,4.64754,3597
Tacombi - NoLita,2530.0,4.61462,637
DOMODOMO Jersey City,2517.0,4.64482,43109
Balthazar,2482.0,4.64384,50227
Tacombi - Bleecker,2135.0,4.55831,640
SakaMai,2041.0,4.63155,2052
Torch & Crown Brewery & Restaurant,2032.0,4.63386,31537
Air’s Champagne Parlor,1933.0,4.63476,1344
Dante West Village,1879.0,4.63332,9675
Blue Smoke Battery Park City,1850.0,4.57514,3038
Friend of a Farmer,1846.0,4.58017,6570
Supper,1815.0,4.6,10412
Fraunces Tavern,1802.0,4.56049,45213
A Pasta Bar (aka Sola Pasta Bar),1669.0,4.61654,10272
Roxy Bar,1623.0,4.64202,10120
Beecher's - The Cellar,1439.0,4.55733,842
Alice,1426.0,4.5575,42292
Epistrophy,1358.0,4.61046,3747
Villanelle,1354.0,4.60635,2628
Popular,1263.0,4.63895,5295
Dirty French,1251.0,4.61151,35679
Barrio Chino,1158.0,4.61226,4347
Nat's on Bank,1154.0,4.64298,52212
Hasaki,1145.0,4.63231,2311
Peasant,1133.0,4.57635,50826
Please Don't Tell (PDT),1033.0,4.56341,10500
Chez Moi,1022.0,4.62231,51978
Silver Apricot,1022.0,4.56849,10578
Kindred,1021.0,4.62096,7618
Jajaja Mexicana - West Village,998.0,4.62826,52801
Dudley's,971.0,4.63646,3646
Buvette NYC,934.0,4.56317,4241
Alma,897.0,4.59643,8424
Ed’s Lobster Bar,795.0,4.5522,2427
The HiHi Room by Court Street Grocers,792.0,4.6351,8582
Basta Pasta,778.0,4.60411,10390
Laut,775.0,4.60903,43969
Il Corallo Trattoria,742.0,4.60108,51448
Canto West Village,709.0,4.55994,55598
Little Ways,707.0,4.56577,37837
"The Lavaux, Swiss Wine and Fondue Bar",690.0,4.61014,37352
Yellow Rose,678.0,4.64307,53048
Kissaki Omakase Bowery,612.0,4.56373,54902
Genesis House Restaurant curated by Onjium,610.0,4.58197,53974
Las' Lap,609.0,4.63875,2886
Kuxé,577.0,4.59619,50918
Bacaro NYC,572.0,4.62937,8353
15East at Tocqueville,567.0,4.57496,37591
The Smile,559.0,4.56172,42658
The Half Pint,500.0,4.606,3308
Anassa Taverna - Downtown,460.0,4.58696,54343
Isabelle's Osteria,458.0,4.56114,42359
Roman Nose,456.0,4.59211,1075
The Django,445.0,4.5618,58129
Ingas Bar,411.0,4.61557,59402
Marathi Greek Bistro,409.0,4.59658,32152
Little Prince,371.0,4.55256,54193
Snack Taverna,357.0,4.59384,52818
Biga Bite,342.0,4.5848,38670
Takumi Omakase,336.0,4.6131,59638
Lelabar,331.0,4.55287,44872
Jajaja Mexicana - Lower East Side,300.0,4.62,52802
Favela Cubana,292.0,4.56849,10673
Paisley,284.0,4.64437,54812
THE IZAKAYA NYC on 4th,284.0,4.62324,10258
Temperance Wine Bar,277.0,4.58123,54383
Cha Kee,274.0,4.60219,54449
Double Zero,272.0,4.63603,8037
TAGMO,270.0,4.61481,54518
Broadstone Bar & Kitchen,266.0,4.57143,7947
Momofuku Noodle Bar East Village,264.0,4.64015,6626
Market Table,253.0,4.55336,50091
Sushi by M,247.0,4.60729,60919
David's Cafe,237.0,4.56962,3832
Bohemien Bar,207.0,4.57005,51975
Bowery Meat Company,202.0,4.55941,50689
Coarse NYC,158.0,4.56329,41970
Somewhere in Nolita,149.0,4.58389,53146
Excuse My French,139.0,4.61151,55198
Via Della Pace,122.0,4.63115,9792
Saint Tuesday,121.0,4.64463,60484
Cooper's Craft & Cocktail: East Village,84.0,4.60714,49945
"Sekai, Omakase",76.0,4.57895,59904
The Dutch,62.0,4.56452,50095
The Gray Mare,45.0,4.57778,50424
Wallsé Next Door,39.0,4.58974,54586
Carne Mare,36.0,4.63889,55555
Sofia's of Mulberry,16.0,4.5625,26713
Beyond Meat & Gregorys - Broadway,15.0,4.6,46977
Casa D' Angelo,5.0,4.6,60516
Numero 28 East Village,5.0,4.6,59218
Tsurutontan Union Square,14757.0,4.4669,560
abc Kitchen by Jean-Georges,10033.0,4.54121,5255
Chinese Tuxedo,9664.0,4.52866,818
La Mercerie at The Guild,7290.0,4.50494,4368
Lola Taverna,5236.0,4.49599,7502
The Spaniard,5159.0,4.49215,1435
abc Cocina by Jean-Georges,5128.0,4.49863,5257
Freemans,4821.0,4.50612,223
St Tropez West Village,4454.0,4.54243,1892
Cafeteria,3875.0,4.48258,1830
12 Chairs Cafe Soho,3735.0,4.51245,4994
La Contenta Oeste,3562.0,4.45873,1927
Dhamaka,3408.0,4.48327,48994
Hudson Clearwater,3227.0,4.49148,5853
Gran Eléctrica,3027.0,4.54906,2001
Au Za’atar East Village - 12th street,2867.0,4.45902,3708
Terra,2679.0,4.48003,891
El Vez NY,2663.0,4.54375,8493
Lil' Frankie's,2491.0,4.47772,10413
Sushi on Jones West Village,1771.0,4.52682,5972
Veranda,1674.0,4.45878,50229
Vestry,1658.0,4.45476,10434
SOOGIL,1569.0,4.47291,2023
Suprema Provisions,1553.0,4.52479,7370
Bar Moga,1521.0,4.54767,2051
The Bar Room at The Beekman,1515.0,4.45413,40703
Mace,1448.0,4.46685,3065
Nom Wah Tea Parlor,1394.0,4.53659,483
Una Pizza Napoletana,1182.0,4.48816,6066
Jackdaw,1073.0,4.46132,37849
Frank,1064.0,4.53477,10411
Bistro La Source,1036.0,4.52703,4885
Toro Loco,937.0,4.46638,7403
Sushi on Jones - Bowery,910.0,4.48462,5992
Canary Club,809.0,4.51051,7964
The Wren,769.0,4.49285,1581
Randolph Beer - DUMBO,752.0,4.49069,1797
The Leroy House,742.0,4.53369,53698
Bandits,739.0,4.5115,51904
Special Club,709.0,4.52327,6492
Employees Only,689.0,4.4717,35203
Grand Bar & Salon at Soho Grand,650.0,4.50308,10483
The Woo,615.0,4.50569,51429
Emmett's On Grove,602.0,4.53821,58219
Gelso and Grand,582.0,4.50515,52799
Red Paper Clip,513.0,4.48733,43018
Cook with the Pros Virtual Series,512.0,4.52734,28661
Bar Verde,510.0,4.51176,8036
The Stand NYC,485.0,4.49072,6937
Temple Court,484.0,4.47521,54402
Momofuku Ssäm Bar,480.0,4.45208,6654
Momoya - Soho,454.0,4.48899,59558
La Pecora Bianca - Meatpacking,447.0,4.45861,58887
Mémé on Hudson,446.0,4.50224,51793
Dimes,395.0,4.48737,4043
Lovely Day,393.0,4.50382,36436
bbf,368.0,4.47283,53099
